TradeDate,MMType,Ccy,Start,End,Notional,Index,Rate,Cpty,Company,Desk,Book
20141130,DEPOSIT,EUR,20141130,1M,8466331.67,FIXED,0.0070,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,1M,10243245.94,FIXED,0.0153,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,1M,170107147.66,FIXED,0.0038,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,2M,12968053.09,FIXED,0.0416,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,2M,25486516.59,FIXED,0.0110,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,2M,40494650.85,FIXED,0.0058,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,3M,12986640.48,FIXED,0.0312,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,3M,15018199.57,FIXED,0.0129,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,3M,28555909.97,FIXED,0.0189,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,4M,2596893.84,FIXED,-0.0224,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,4M,6946872.15,FIXED,0.0335,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,4M,29394806.80,FIXED,0.0190,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,5M,2266911.06,FIXED,0.0084,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,5M,10120531.94,FIXED,0.0210,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,5M,8730520.93,FIXED,0.0181,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,6M,7442916.70,FIXED,0.0140,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,6M,6056055.18,FIXED,0.0093,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,6M,25759523.92,FIXED,0.0082,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,7M,8145874.38,FIXED,0.0096,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,7M,7720723.91,FIXED,0.0217,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,7M,50797333.78,FIXED,0.0107,INTEINT,INGLU,LUDESK,LUMMCB
20141130,LOAN,EUR,20141130,8M,9786806.91,FIXED,0.0249,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,8M,39216790.43,FIXED,0.0183,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,9M,1504296.08,FIXED,0.0553,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,9M,1616283.41,FIXED,0.0129,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,9M,57770351.12,FIXED,0.0067,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,10M,4311295.61,FIXED,0.0091,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,10M,2379407.78,FIXED,0.0106,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,10M,19895073.03,FIXED,0.0097,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,11M,4663582.47,FIXED,0.0045,INTEINT,INGLU,LUDESK,LUMMPB
20141130,DEPOSIT,EUR,20141130,11M,4882712.63,FIXED,0.0239,INTEINT,INGLU,LUDESK,LUMMRE
20141130,DEPOSIT,EUR,20141130,11M,24149710.29,FIXED,0.0239,INTEINT,INGLU,LUDESK,LUMMCB
20141130,DEPOSIT,EUR,20141130,12M,12405223.73,FIXED,0.0108,INTEINT,INGLU,LUDESK,LUMMPB
